% #Source	#Target	#Weight
Jagat.Puri.A-Blk	Hans.Apartment	8
Jagat.Puri.A-Blk	Karkarduma.More	1
K.K..Xing	Jagat.Puri.A-Blk	5
K.K..Xing	Swastiya.Vihar	6
K.K..Xing	Hasan.Pur.Depot	2
K.K..Xing	Hans.Apartment	1
K.K..Xing	Hari.Nagar.Depot	2
K.K..Xing	Hargovind.Enclave	2
Swastiya.Vihar	Jagat.Puri.A-Blk	1
Swastiya.Vihar	K.K..Xing	8
Swastiya.Vihar	Shakar.Pur	11
Swastiya.Vihar	Karkarduma.More	4
Swastiya.Vihar	Karkardooma.Flats	1
Shakar.Pur	Swastiya.Vihar	13
Shakar.Pur	TT.Post	12
Shakar.Pur	Rainy.Well	5
Shakar.Pur	Mother.Dairy	12
Shakar.Pur	Pushta.Xing	3
Shakar.Pur	Hans.Apartment	1
Shakar.Pur	Ps.Trilokpuri	1
Shakar.Pur	Hargovind.Enclave	1
Shakar.Pur	Radhu.Palace	1
Shakar.Pur	Samas.Pur.Khalsa	1
TT.Post	Swastiya.Vihar	1
TT.Post	Shakar.Pur	25
TT.Post	Rainy.Well	12
TT.Post	Mother.Dairy	2
TT.Post	Anand.Gram	1
TT.Post	Ramesh.Park	3
TT.Post	Radhu.Palace	1
TT.Post	Shakar.Pur.School.Blk	1
Rainy.Well	TT.Post	3
Rainy.Well	Delhi.Secretariat	13
Rainy.Well	ITO.Ring.Road	3
Rainy.Well	ITO.AGCR	4
Delhi.Secretariat	Shakar.Pur	3
Delhi.Secretariat	TT.Post	25
Delhi.Secretariat	Rainy.Well	3
Delhi.Secretariat	ITO.Ring.Road	1
Delhi.Secretariat	Raj.Ghat	1
Delhi.Secretariat	Mandi.House	1
Delhi.Secretariat	I.T.O	3
Delhi.Secretariat	ITO.AGCR	8
Delhi.Secretariat	Kisan.Ghat	1
Delhi.Secretariat	Ambedkar.Stadium	1
Delhi.Secretariat	Rose.Evenue	1
ITO.Ring.Road	Delhi.Secretariat	7
ITO.Ring.Road	Raj.Ghat	3
ITO.Ring.Road	Shanti.Vana	1
ITO.Ring.Road	Sarai.Kale.Khan.ISBT	1
ITO.Ring.Road	I.P..Depot	3
ITO.Ring.Road	Delhi.Gate	3
ITO.Ring.Road	Pragati.Maidan	1
ITO.Ring.Road	Ambedkar.Stadium.Terminal	1
Raj.Ghat	ITO.Ring.Road	10
Raj.Ghat	Shanti.Vana	5
Raj.Ghat	Sarai.Kale.Khan.ISBT	1
Raj.Ghat	Delhi.Gate	10
Raj.Ghat	I.T.O	3
Raj.Ghat	Ambedkar.Stadium	1
Shanti.Vana	ITO.Ring.Road	2
Shanti.Vana	Raj.Ghat	10
Shanti.Vana	Vijay.Ghat	5
Shanti.Vana	Yamuna.Bazar	1
Vijay.Ghat	Shanti.Vana	10
Vijay.Ghat	Yamuna.Bazar	5
Yamuna.Bazar	Raj.Ghat	1
Yamuna.Bazar	Shanti.Vana	2
Yamuna.Bazar	Vijay.Ghat	10
Yamuna.Bazar	ISBT	5
Yamuna.Bazar	Raksha.Vigyan.Kendra	1
ISBT	Yamuna.Bazar	2
ISBT	Tees.Hazari	9
ISBT	Ice.Factory	6
ISBT	I.P.College	23
ISBT	Old.Secretariat	1
ISBT	Red.Fort	12
ISBT	Shyam.Giri.Mandir	20
ISBT	Mori.Gate/.ISBT	3
ISBT	Supreme.Court	4
ISBT	E81	1
Tees.Hazari	ISBT	1
Tees.Hazari	Ice.Factory	13
Tees.Hazari	STA.Office	1
Ice.Factory	Guru.Govind.Singh.Marg	2
Ice.Factory	Tees.Hazari	1
Ice.Factory	Roshanara.Bagh	32
Ice.Factory	Filmistan	4
Ice.Factory	Azad.Market.(DCM)	16
Ice.Factory	Malka.Ganj	5
Ice.Factory	Kishan.Ganj.Dispensary	6
Ice.Factory	Roshan.Ara.Road	2
Ice.Factory	Daya.Basti	1
Ice.Factory	Clock.Tower.(Old.Subzi.Mandi)	1
Roshanara.Bagh	Hari.Nagar.Clock.Tower	32
Hari.Nagar.Clock.Tower	Delhi.Secretariat	1
Hari.Nagar.Clock.Tower	Shakti.Nagar	3
Hari.Nagar.Clock.Tower	Fateh.Puri	1
Hari.Nagar.Clock.Tower	Gur.Mandi	25
Hari.Nagar.Clock.Tower	Kamla.Nagar	4
Hari.Nagar.Clock.Tower	Beriwala.Bagh	3
Hari.Nagar.Clock.Tower	P.S..Roshnara.Bagh	2
Hari.Nagar.Clock.Tower	Malka.Ganj	2
