9100WHTLSEA  9100MRCH    
9100WHTLSEA  9100PBRO    
9100HAMERTN  9100CATTAL  
9100HAMERTN  9100POPLTON 
9100CRCK     9100STBEES  
9100CRCK     9100WHITHVN 
9100PLTH     9100SHVN    
9100PLTH     9100ABRDEEN 
9100FROME    9100WSTBRYW 
9100FROME    9100BRUTON  
9100FROME    9100TAUNTON 
9100TATNHMC  9100TADWTH  
9100MAXWLPK  9100SHWLNDS 
9100MAXWLPK  9100PLKLHDW 
9100BRADFS   9100SHPY    
9100BRADFS   9100FRZNGHL 
9100KNYMPTN  9100EGGESFD 
9100KNYMPTN  9100PRTSMTA 
9100KNYMPTN  9100UMBRLGH 
9100ROWLEYR  9100BHAMSNH 
9100ROWLEYR  9100OLHL    
9100ROWLEYR  9100LGRN    
9100ROWLEYR  9100STRBDGJ 
9100ROWLEYR  9100CRADLYH 
9100ROWLEYR  9100GALTINT 
9100HITCHIN  9100STNEOTS 
9100HITCHIN  9100LTCE    
9100HITCHIN  9100KNGX    
9100HITCHIN  9100BIGLSWD 
9100HITCHIN  9100WLWYNN  
9100HITCHIN  9100STEVNGE 
9100PNTADLS  9100PNTYFYN 
9100PNTADLS  9100LLGNNCH 
9100KNTBRY   9100NEWBURY 
9100KNTBRY   9100HUNGRFD 
9100ROMILEY  9100WOODLEY 
9100ROMILEY  9100REDISHN 
9100ROMILEY  9100ROHL    
9100ROMILEY  9100BREDBRY 
9100ROMILEY  9100MARPLE  
9100ROMILEY  9100MNCRPIC 
9100ROMILEY  9100RYDRBRW 
9100STKNWNG  9100HAKNYNM 
9100STKNWNG  9100SEVNSIS 
9100STKNWNG  9100RCTRYRD 
9100STKNWNG  9100STMFDHL 
9100SLCT     9100STVNSTN 
9100SLCT     9100ARDRSSB 
9100LEALHLM  9100GLAISDL 
9100ARCHRAT  9100ARDLUI  
9100ARCHRAT  9100GRLCHHD 
9100RHYL     9100LANDUDJ 
9100RHYL     9100FLINT   
9100RHYL     9100CHST    
9100RHYL     9100PSTA    
9100RHYL     9100ABGLELE 
9100RHYL     9100CBAY    
9100KNIGHTN  9100BKNELL  
9100KNIGHTN  9100KNUCKLS 
9100SPEANBD  9100FRTWLM  
9100SPEANBD  9100ROYBDGE 
9100ROBY     9100BROADGR 
9100ROBY     9100HUYTON  
9100HTCP     9100LVHM    
9100HTCP     9100STKP    
9100HTCP     9100MNCRPIC 
9100BSNGSTK  9100BMLY    
9100BSNGSTK  9100ANDOVER 
9100BSNGSTK  9100OVTN    
9100BSNGSTK  9100FRBRMN  
9100BSNGSTK  9100MCHLDVR 
9100BSNGSTK  9100HOOK    
9100BSNGSTK  9100RDNGSTN 
9100BSNGSTK  9100CLPHMJM 
9100BSNGSTK  9100SOTON   
9100BSNGSTK  9100WNCHSTR 
9100MLVRNLK  9100GTMLVRN 
9100MLVRNLK  9100WORCSFS 
9100BARNES   9100BNSBDGE 
9100BARNES   9100PUTNEY  
9100BARNES   9100MRTLKE  
9100SHILDMR  9100MOTHRWL 
9100SHILDMR  9100WISHAW  
9100FSHBORN  9100BOSHAM  
9100FSHBORN  9100CHCHSTR 
9100FSHBORN  9100NUTBORN 
9100PSLYGST  9100HLNGTNW 
9100PSLYGST  9100BISHPTN 
9100PSLYGST  9100PSLYSTJ 
9100PSLYGST  9100GLGC    
9100PSLYGST  9100IRVN    
9100PSLYGST  9100HLNGTNE 
9100PSLYGST  9100PTGLSGW 
9100PSLYGST  9100KILWNNG 
9100PSLYGST  9100GLGN    
9100PSLYGST  9100JOHNSTN 
9100CLYGATE  9100HNCHLYW 
9100CLYGATE  9100OXSHOTT 
9100NDULWCH  9100EDULWCH 
9100NDULWCH  9100TULSEH  
9100KTBK     9100GOVS    
9100KTBK     9100CARK    
9100LMTNPIR  9100LMTNTWN 
9100BRKWOOD  9100ASHVALE 
9100BRKWOOD  9100FRBRMN  
9100STHCENT  9100STHNDE  
9100STHCENT  9100WCLIFF  
9100PLKSHWW  9100KENISHD 
9100PLKSHWW  9100GLGC    
9100PLKSHWW  9100CRSMYLF 
9100PLKSHWW  9100THLB    
9100PLKSHWW  9100BRHD    
9100BCKWATR  9100FRBRNTH 
9100BCKWATR  9100SNDHRST 
9100BCKWATR  9100WOKNGHM 
9100BCKWATR  9100NTHCAMP 
9100LLISHEN  9100HEATHHL 
9100LLISHEN  9100LTHH    
9100LEGR     9100STHLNSJ 
9100LEGR     9100HUYTON  
9100LEGR     9100WVRTTEC 
9100LEGR     9100RHIL    
9100CBHMSDA  9100OXSHOTT 
9100CBHMSDA  9100EFNGHMJ 
9100KSTP     9100APBY    
9100KSTP     9100RIBLHED 
9100KSTP     9100SETTLE  
9100GRAYS    9100TLBYTWN 
9100GRAYS    9100PURFLET 
9100GRAYS    9100CHADHDD 
9100GRAYS    9100SLEHOPE 
9100STCR     9100GNHT    
