% #source	#target	#weight
331	759	1.0
332	333	1.0
332	743	1.0
332	824	1.0
332	1021	1.0
334	824	43.0
334	1021	41.0
334	1022	2.0
335	793	6.0
335	970	7.0
335	971	1.0
336	504	47.0
336	628	1.0
336	655	1.0
336	858	66.0
336	902	4.0
336	943	1.0
337	338	4.0
338	639	5.0
338	645	4.0
338	716	2.0
339	344	79.0
339	354	2.0
339	362	1.0
339	372	8.0
339	532	3.0
339	991	5.0
339	996	3.0
340	424	1.0
340	1061	1.0
341	736	1.0
341	737	2.0
341	795	12.0
341	797	11.0
341	944	10.0
341	960	14.0
341	1028	1.0
341	1154	17.0
342	915	1.0
344	372	1.0
344	531	9.0
344	532	70.0
345	531	5.0
346	605	1.0
346	753	1.0
346	915	2.0
347	571	7.0
347	940	14.0
347	944	1.0
348	1114	2.0
349	861	1.0
349	901	1.0
350	473	1.0
350	524	3.0
350	1203	4.0
351	718	1.0
351	719	3.0
351	1155	10.0
352	429	1.0
352	533	1.0
352	1036	1.0
353	451	1.0
353	452	3.0
353	965	2.0
354	548	1.0
354	666	27.0
354	879	8.0
354	1121	11.0
355	816	1.0
355	964	1.0
356	739	1.0
356	758	7.0
356	759	1.0
356	948	1.0
357	547	2.0
357	1020	2.0
358	951	2.0
358	987	2.0
359	620	1.0
359	996	1.0
360	605	14.0
360	753	11.0
360	915	28.0
360	1165	7.0
360	1174	1.0
361	440	1.0
363	517	22.0
363	999	22.0
365	375	1.0
365	412	1.0
367	1021	1.0
367	1066	1.0
369	445	1.0
369	767	1.0
370	903	1.0
370	1076	1.0
371	948	4.0
372	666	19.0
372	703	1.0
373	666	2.0
374	465	1.0
377	535	1.0
377	878	12.0
377	1008	9.0
381	692	29.0
381	944	47.0
381	1201	9.0
382	1200	1.0
383	761	1.0
384	1012	1.0
384	1086	1.0
385	547	1.0
385	1006	11.0
386	695	4.0
386	1107	5.0
388	814	3.0
389	995	66.0
389	1087	1.0
389	1088	63.0
390	560	1.0
390	562	7.0
390	615	1.0
390	1170	1.0
390	1178	5.0
390	1179	4.0
391	788	1.0
391	789	1.0
391	790	2.0
391	1021	4.0
392	869	3.0
392	1087	5.0
393	955	1.0
394	632	1.0
394	778	1.0
395	548	1.0
396	1156	2.0
397	871	1.0
397	1042	1.0
397	1162	1.0
397	1203	1.0
398	580	4.0
399	815	1.0
400	1181	2.0
401	734	4.0
401	972	1.0
401	1032	1.0
402	803	22.0
402	961	29.0
403	962	2.0
403	984	1.0
404	651	48.0
404	964	44.0
405	526	7.0
405	584	3.0
405	587	9.0
405	591	2.0
406	504	2.0
406	846	15.0
406	953	18.0
407	614	1.0
407	1124	1.0
408	940	2.0
409	758	1.0
409	760	1.0
414	439	4.0
414	1018	4.0
415	426	5.0
415	1202	5.0
416	851	1.0
418	952	1.0
418	986	1.0
418	1148	1.0
421	602	1.0
421	1147	1.0
424	1149	1.0
425	608	2.0
425	1103	2.0
426	945	10.0
427	439	3.0
427	1019	3.0
428	780	27.0
429	826	4.0
429	1183	1.0
429	1191	1.0
430	965	7.0
432	918	1.0
434	560	1.0
435	436	1.0
436	1038	1.0
437	783	1.0
437	931	1.0
437	932	6.0
438	446	20.0
438	944	25.0
438	1028	1.0
439	745	7.0
440	441	1.0
442	443	1.0
442	1089	1.0
443	1166	1.0
444	545	1.0
444	546	5.0
444	547	22.0
444	811	2.0
444	1165	11.0
446	1027	14.0
447	617	1.0
447	836	1.0
448	649	1.0
448	1205	3.0
449	613	1.0
449	705	1.0
451	648	2.0
453	454	1.0
453	838	2.0
454	838	1.0
454	1131	1.0
455	469	2.0
455	1080	2.0
456	578	2.0
456	661	2.0
456	700	2.0
456	701	1.0
456	1170	1.0
456	1178	5.0
456	1179	5.0
457	775	3.0
458	502	1.0
458	557	3.0
458	559	8.0
458	697	3.0
458	792	1.0
458	845	2.0
458	910	1.0
458	919	11.0
458	994	1.0
458	1202	3.0
459	559	5.0
459	845	1.0
459	919	9.0
459	1202	3.0
460	505	13.0
460	968	6.0
460	969	8.0
461	1131	1.0
462	463	1.0
463	870	1.0
466	686	10.0
466	781	5.0
468	522	1.0
468	760	1.0
473	524	4.0
474	977	3.0
474	1095	3.0
475	977	2.0
475	1095	2.0
476	1109	4.0
477	487	1.0
477	801	1.0
477	1070	2.0
478	480	1.0
479	1203	1.0
480	567	2.0
480	600	1.0
483	1052	9.0
484	749	18.0
484	1077	18.0
485	486	2.0
485	1215	2.0
487	892	1.0
488	668	2.0
489	603	1.0
489	678	1.0
490	548	1.0
490	549	1.0
492	493	31.0
492	494	1.0
492	708	8.0
493	495	12.0
493	531	1.0
493	532	11.0
494	1059	1.0
495	531	9.0
495	532	44.0
495	708	6.0
495	1059	84.0
497	1014	1.0
497	1197	1.0
498	540	5.0
498	842	4.0
501	843	1.0
501	859	1.0
501	1142	3.0
502	720	6.0
502	840	1.0
502	964	40.0
504	582	19.0
504	846	73.0
504	953	1.0
504	1163	21.0
505	506	4.0
505	650	1.0
505	974	9.0
505	1039	16.0
506	1152	1.0
517	960	10.0
517	1027	17.0
519	858	1.0
521	846	1.0
521	1044	1.0
522	966	1.0
524	692	37.0
524	1059	24.0
524	1210	1.0
525	581	4.0
525	936	5.0
525	1112	3.0
525	1216	6.0
526	562	1.0
526	564	1.0
526	738	7.0
526	852	1.0
526	1145	1.0
527	938	3.0
527	940	3.0
527	965	3.0
527	977	2.0
527	1207	1.0
528	938	4.0
528	940	1.0
528	977	3.0
528	1207	5.0
530	542	3.0
530	567	1.0
530	599	2.0
530	1047	1.0
532	1121	2.0
532	1122	4.0
533	990	1.0
534	718	1.0
534	719	2.0
534	990	1.0
536	640	1.0
536	655	1.0
540	542	5.0
540	600	3.0
540	648	37.0
540	1047	2.0
541	542	12.0
541	567	10.0
541	599	2.0
542	543	8.0
542	648	26.0
543	600	1.0
543	828	2.0
545	546	1.0
545	547	2.0
545	843	3.0
546	684	1.0
546	843	6.0
547	652	1.0
547	684	3.0
547	688	40.0
547	843	12.0
547	1139	11.0
547	1158	43.0
548	841	1.0
549	719	3.0
549	841	4.0
550	610	1.0
550	708	38.0
550	1114	38.0
551	1018	4.0
552	965	3.0
552	1207	4.0
553	671	1.0
553	915	37.0
553	990	2.0
553	1160	1.0
554	721	3.0
554	1098	2.0
554	1106	2.0
555	1095	2.0
555	1109	2.0
556	884	2.0
556	916	2.0
559	990	1.0
559	1052	1.0
559	1202	3.0
559	1210	40.0
560	916	2.0
563	615	1.0
564	565	3.0
565	841	3.0
567	568	5.0
567	571	10.0
567	600	1.0
567	601	1.0
568	569	1.0
568	571	5.0
569	646	1.0
571	1017	8.0
577	578	2.0
577	903	1.0
577	1144	1.0
579	617	1.0
579	723	1.0
580	770	4.0
581	670	4.0
581	1112	1.0
581	1216	36.0
582	785	3.0
582	968	5.0
582	969	8.0
583	785	1.0
583	968	1.0
584	889	1.0
584	890	1.0
585	660	2.0
