% #Source	#Target	#Weight	
Hatkeshwar.Mahadev	Amraiwadi	2.0
Hatkeshwar.Mahadev	Laxminarayan.Society	1.0
Hatkeshwar.Mahadev	C.T.M.	1.0
Hatkeshwar.Mahadev	Amraiwadi.Post.Office	1.0
Amraiwadi	Hatkeshwar.Mahadev	1.0
Amraiwadi	Indiranagar	1.0
Amraiwadi	New.Cotton.Mills	4.0
Amraiwadi	Nagarvel.Hanuman	1.0
Amraiwadi	Rudreshwar.Mahadev	1.0
Indiranagar	Amraiwadi	1.0
Indiranagar	A.E.C.Office.(Amraiwadi)	1.0
Indiranagar	Gujarat.Stadium	1.0
A.E.C.Office.(Amraiwadi)	New.Cotton.Mills	1.0
New.Cotton.Mills	Amraiwadi	1.0
New.Cotton.Mills	Indiranagar	1.0
New.Cotton.Mills	Sukhram.Nagar	2.0
New.Cotton.Mills	Silver.Cotton.Mills	1.0
New.Cotton.Mills	Rakhial.Cross.Road	1.0
New.Cotton.Mills	Mariyam.Bibi.Masjid	1.0
Sukhram.Nagar	New.Cotton.Mills	1.0
Sukhram.Nagar	Government.Quarters	1.0
Sukhram.Nagar	Gomtipur.Darwaja	1.0
Sukhram.Nagar	Arbuda.Mills	1.0
Government.Quarters	Sukhram.Nagar	1.0
Government.Quarters	Silver.Cotton.Mills	1.0
Government.Quarters	Parmeshwar.Park	1.0
Government.Quarters	Nagarvel.Hanuman	1.0
Government.Quarters	Gomtipur.Darwaja	1.0
Silver.Cotton.Mills	New.Cotton.Mills	1.0
Silver.Cotton.Mills	Saint.Joseph.High.School	2.0
Saint.Joseph.High.School	Silver.Cotton.Mills	1.0
Saint.Joseph.High.School	Rajpur	1.0
Saint.Joseph.High.School	Rajpur.Toll.Naka	1.0
Saint.Joseph.High.School	Jivrambhatt.ni.Chali	1.0
Rajpur	Toll.Naka	1.0
Toll.Naka	Kamdar.Maidan	1.0
Kamdar.Maidan	Kalupur	1.0
Kamdar.Maidan	Sarangpur	7.0
Kamdar.Maidan	Rakhial.Cross.Road	2.0
Kamdar.Maidan	Patel.Mills	2.0
Kamdar.Maidan	Rakhial	2.0
Kamdar.Maidan	Rajpur.Toll.Naka	3.0
Kamdar.Maidan	Rakhiyal.Patel.Mills	1.0
Kamdar.Maidan	Hathi.ni.Khai	1.0
Sarangpur	Lal.Darwaja	2.0
Sarangpur	Kalupur	16.0
Sarangpur	S.T.(Gita.Mandir)	2.0
Sarangpur	Kamdar.Maidan	11.0
Sarangpur	Sarangpur	1.0
Sarangpur	Kalupur.Terminus	5.0
Sarangpur	Raipur.Darwaja	12.0
Sarangpur	Sarangpur.Bridge	1.0
Sarangpur	Kalupur.Overbridge	1.0
Sarangpur	New.Cloth.Market	1.0
Sarangpur	Panch.Kuva	1.0
Prem.Darwaja	Kalupur	4.0
Prem.Darwaja	Idgah.Chowki	8.0
Prem.Darwaja	Girdharnagar	1.0
Prem.Darwaja	Kalupur.Terminus	2.0
Prem.Darwaja	Asarwa.Overbridge	1.0
Prem.Darwaja	Delhi.Darwaja	6.0
Prem.Darwaja	Dariyapur.Tower	2.0
Prem.Darwaja	Dariyapur.Darwaja	8.0
Idgah.Chowki	Kalupur	1.0
Idgah.Chowki	Prem.Darwaja	1.0
Idgah.Chowki	Girdharnagar	3.0
Idgah.Chowki	Asarwa	1.0
Idgah.Chowki	Asarwa.Overbridge	6.0
Idgah.Chowki	Haripura	1.0
Girdharnagar	Kalupur	1.0
Girdharnagar	Idgah.Chowki	1.0
Girdharnagar	Baliya.Limdi	4.0
Girdharnagar	Civil.Hospital	4.0
Girdharnagar	Civil.Hospital.Corner	1.0
Girdharnagar	Shahibag.Underbridge	1.0
Girdharnagar	Shahibag	1.0
Baliya.Limdi	Girdharnagar	2.0
Baliya.Limdi	Civil.Hospital	7.0
Baliya.Limdi	Civil.Hospital.Corner	1.0
Baliya.Limdi	Haripura	1.0
Civil.Hospital	Lal.Darwaja	2.0
Civil.Hospital	Girdharnagar	2.0
Civil.Hospital	Baliya.Limdi	3.0
Civil.Hospital	Civil.Hospital.Corner	1.0
Civil.Hospital	Cancer.Hospital	2.0
Civil.Hospital	M.L.A.Quarters	9.0
Civil.Hospital	Haripura	1.0
Civil.Hospital	Umiya.Nagar	1.0
Civil.Hospital	Paldi	1.0
Civil.Hospital	Sarkhej.Roja	1.0
Civil.Hospital	Rameshwar.Mahadev	2.0
Civil.Hospital.Corner	Civil.Hospital	1.0
Civil.Hospital.Corner	Government.Press	1.0
