% #Source	#Target	#Weight	
Garia.Bus.Stand.	Naktala	1.0
Garia.Bus.Stand.	Baisnabghata	1.0
Tollygounge.Metro	Bangur.Hospital	1.0
Bangur.Hospital	Tollygounge.Phari	1.0
Tollygounge.Phari	Mudiali	1.0
Mudiali	Rashbihari	1.0
Rashbihari	Hazra	3.0
Bhawanipur	Exide	4.0
Exide	Rabindra.Sadan	4.0
Exide	Minto.Park	1.0
PG.Hospital	PTS	2.0
PTS	2nd.Hoogly.Bridge	2.0
2nd.Hoogly.Bridge	Toll.Plaza	4.0
Toll.Plaza	Nabanna	4.0
Sarsuna.	Bakultala	1.0
Taratal	New.Alipur	1.0
New.Alipur	Rashbihari	1.0
B.B.D.Bag	Barabazar	1.0
B.B.D.Bag	Esplanade	3.0
B.B.D.Bag	Howrah.Station	1.0
B.B.D.Bag	Stand.Road	1.0
Baisnabghata	Padmasree	1.0
Padmasree	Gangulybagan	1.0
Jadavpur.PS	Dhakuria	2.0
Gariahat	Rasbehari	1.0
Gariahat	Park.Circus	1.0
Gariahat	Deshapriyo.Park	1.0
Gariahat	Ballygunge.Station	12.0
Gariahat	Ballygunge.Phari	1.0
Gariahat	Ballygunge.Station.Kasba	1.0
Deshapriyo.Park	Rashbihari	1.0
Sarkarhat	Bakultala	3.0
Sasthir.More.	Bakultala	1.0
Stand.Road	Barabazar	3.0
Stand.Road	Bara.Bazar	1.0
Sona.Mukhi.BAZAR	Sarsuna	1.0
Mulali	Sealdah	1.0
Kankurgachi	Phoolbagan	1.0
Kankurgachi	Bagpota.	1.0
Kankurgachi	Huddco	1.0
Bagpota.	Debinagar	1.0
Debinagar	Kestor.More	1.0
Kestor.More	Sarsuna	1.0
Chowrata	Behala.Tram.Depo	2.0
Hastings	Fort.Willium	1.0
Fort.Willium	Esplanade	1.0
Bara.Bazar	Howrah	1.0
Howrah	Esplanade	1.0
Howrah	Sarsuna	1.0
Ballygunge.Station	Esplanade	1.0
Ballygunge.Station	Hari.Mohon.Ghosh.College	1.0
Ballygunge.Station	Bagbazar	1.0
Ballygunge.Station	Rajdanga	2.0
Ballygunge.Station	Kasba	1.0
Ballygunge.Station	Bosepukur	5.0
Ballygunge.Station	Airport.Gate.No.1.	1.0
Hari.Mohon.Ghosh.College	Ramnagar	1.0
Ramnagar	Khidirpur	1.0
Sealdaha	Belehata	1.0
Belehata	C.I.T.Road	1.0
C.I.T.Road	Joramandir	1.0
Joramandir	Karunamoyee	1.0
Karunamoyee	Bagbazar	1.0
Bagbazar	Rajballavpara	2.0
Bagbazar	RajballavparaSovabazar	1.0
Khanna	Kankurgachi	1.0
Khanna	Ultadanga.PNB	1.0
Khanna	Shyambazar.Chiria.More.	1.0
Khanna	Shyambazar.R.G..Kar.Hospital	1.0
PNB.More	Karunamayee	2.0
PNB.More	E.M..Bypass	1.0
PNB.More	Baisakhi	2.0
CA.Market	PNB.More	1.0
City.Centre	CA.Market	1.0
City.Centre	Bikash.Bhawan.Karunamayee	1.0
Bikash.Bhawan	City.Centre	1.0
Bikash.Bhawan	Karunamayee	1.0
Karunamayee	Tollygunge.Tram.Depot	2.0
Karunamayee	Ultadanga	1.0
Karunamayee	Tank.No.10	3.0
Tank.No.10	Nicco.Park	1.0
Tank.No.10	College.More	1.0
Tank.No.10	Salt.Lake.Depot	1.0
Tank.No.10	Salt.Lake.Karunamoyee	1.0
Tank.No.10	Salt.Lake.Gate	1.0
Tank.No.10	College.MoreTechnopolis	1.0
Nicco.Park	College.More	1.0
Nicco.Park	Chingrighata	10.0
Nicco.Park	Salt.Lake.Depot	2.0
Nicco.Park	Salt.Lake.Depot.Gate	1.0
SDF	Nicco.Park	10.0
SDF	WEBEL.More	1.0
College.More	Karunamayee	1.0
College.More	SDF	10.0
College.More	Technopolis.DLF.More	1.0
Technopolis	College.More	11.0
Technopolis	Saltlake.Depot	1.0
Technopolis	Mahishbathan	1.0
Saltlake.Depot	Rathtala	1.0
Raja.Bazar	Sealdah	1.0
Dumdum.Station.	Chiria.More	1.0
Tala	Shyambazar	1.0
Grey.Street	C.R.Avenue	1.0
C.R.Avenue	M.G.Road	2.0
Silpara	Sakherbazar	2.0
Silpara	Thakurpukur.Bazar	1.0
Behala	Majherhat	1.0
Behala	Ajanta	1.0
Behala	Chowrasta	2.0
Thakurpukur	Howrah.Station	2.0
Thakurpukur	Karunamayee	1.0
Thakurpukur	Silpara	1.0
Thakurpukur	Joka	2.0
Thakurpukur	Nabanna.	1.0
Paikpara.	Rajabazar	1.0
CIT.Road	Moulali	3.0
CIT.Road	Kankurgachi	1.0
CIT.Road	Chittaranjan.Hospital	2.0
CIT.Road	Chitaranjan.Hospital	1.0
Chittaranjan.Hospital	Park.Circus	1.0
Chittaranjan.Hospital	Bridge.No.4	1.0
Bridge.No.4	Lohapool	1.0
Bridge.No.4	Topsia	5.0
Lohapool	Bondel.Road	1.0
Bondel.Road	Ballygunge.Phari	1.0
Ballygunge.Phari	Hazra	1.0
Ballygunge.Phari	Park.Circus	1.0
Chetla	Rasbehari	2.0
Chetla	Rajabagan	1.0
Rajabagan	Garden.Reach	1.0
Garden.Reach	Alif.Nagar	1.0
Alif.Nagar	ITC.More	1.0
ITC.More	Khidirpore	1.0
Shakuntala.Park	Bakultala	2.0
Muchipara	Shakuntala.Park	2.0
Muchipara	Shibrampur	2.0
Muchipara	Dhara.Para	1.0
Shibrampur	Moynagore	2.0
Moynagore	Dakghar	2.0
Moynagore	Gonipur	1.0
Maheshtala	Budge.Budge	2.0
Charial.Bazar	BBIT.College	2.0
BBIT.College	Birla.More	2.0
Birla.More	Bawali	1.0
Birla.More	Bishalaxmitala	1.0
Bawali	Taratala	1.0
Bishalaxmitala	Behala.	1.0
Behala.	Chowrasta	1.0
Thakurpukur.Bazar	Hanspukur	1.0
Hanspukur	Khalpole	1.0
Khalpole	Rasapunja	1.0
Rasapunja	Samali	1.0
Samali	Samukpota	1.0
Samukpota	Bibirhat	1.0
Bibirhat	Sanjua	1.0
Sanjua	Bakrahat	1.0
Bakrahat	Raipur.More	1.0
Raipur.More	Nodakhali	1.0
Nodakhali	Dongaria	1.0
Dongaria	Raipur	1.0
Raipur	Howrah.Station	1.0
Raipur	Mukherjee.gate	1.0
Kudghat	Tollygunge.Metro	2.0
Kudghat	Paikpara	1.0
Kudghat	Jadavpur.	1.0
Kudghat	Chanditala	1.0
Kudghat	Santragachi	1.0
Paikpara	Shyambazar	1.0
Paikpara	R.G..Kar.Hospital	1.0
Hatibagan	Bidhan.Sarani	1.0
Bidhan.Sarani	College.Street/Amherst.Street	1.0
College.Street/Amherst.Street	Nirmal.Chandra.Street	1.0
Nirmal.Chandra.Street	Wellington	1.0
Wellington	Esplanade	1.0
Mullickbazar	Minto.Park	1.0
Minto.Park	Park.Circus	3.0
Minto.Park	Lansdowne	1.0
Lansdowne	Sishumangal.Hospital	1.0
Sishumangal.Hospital	Deshapriya.Park	1.0
Rajdanga	Kasba	1.0
Rajdanga	Kasba.Ruby.Hospital	1.0
Kasba	Ruby.Hospital	7.0
Ruby.Hospital	VIP.Bazar	3.0
Ruby.Hospital	Science.City.Chingrighata	1.0
Ruby.Hospital	Vip.Bazar	1.0
Kalikapur	Sealdah	1.0
Kalikapur	Ruby.Hospital	9.0
Kalikapur	Safuipara	2.0
Kalikapur	Mukundapur	8.0
Khidirpur.Mominpore	Majherhat	1.0
Behala.14.Bus.Stand	Joka	1.0
Joka	Howrah.Station.	1.0
New.Alipore	Taratala	5.0
New.Alipore	Chetla	2.0
New.Alipore	Chetla.Rasbehari	1.0
Chetla.Rasbehari	Deshapriya.Park	1.0
Bosepukur	Kasba	5.0
Science.City	Ruby.Hospital	8.0
Science.City	Chingrighata.Nicco.Park	1.0
Science.City	Ruby.Hospital.Kalikapur	2.0
Science.City	Chowbaga	2.0
Chingrighata.Nicco.Park	SDF	1.0
DLF.More	Technopolis	10.0
DLF.More	Narkelbagan	3.0
DLF.More	Newtown	1.0
New.Town	Howrah.Station.	1.0
New.Town	Haridevpur	1.0
New.Town	Technopolis	1.0
New.Town	Kudghat	1.0
New.Town	DLF.More	9.0
New.Town	Dum.Dum.7.Tanks.	1.0
New.Town	Shakuntala.Park.	1.0
Narkelbagan	New.Town	6.0
Narkelbagan	Unitech	5.0
Narkelbagan	Ecospace	3.0
Narkelbagan	Tata.Medical	1.0
Narkelbagan	HIDDCO	1.0
Unitech	Kudghat	1.0
Unitech	New.Town	1.0
Unitech	Ecospace	2.0
Unitech	Sapoorji.Estate	2.0
Ecospace	Parnasree	1.0
Ecospace	Amtala.	1.0
Ecospace	Jadavpur.	1.0
Ecospace	Airport.Gate.No.1	1.0
Ecospace	Madhyamgram	1.0
Ballygunge.Station.Kasba	Ruby.Hospital	1.0
Chingrighata	Science.City	15.0
Chingrighata	Beliaghata	1.0
Chingrighata	E.M..Bypass	3.0
Chingrighata	Mani.Square	2.0
Chingrighata	Science.City.Ruby.Hospital	1.0
Chingrighata	Beliaghata.Bypass	1.0
Chingrighata	Mathpukur	1.0
Building.More	Chingrighata	4.0
Building.More	Tank.No.13	1.0
Building.More	AMRI.Hospital	3.0
Building.More	KB.Block	1.0
Tank.No.13	Laboni	1.0
Laboni	City.Centre	1.0
Laboni	Bidhannagar.College	1.0
Bikash.Bhawan.Karunamayee	Tank.No.10	1.0
Salt.Lake.Depot	Howrah.Station.	1.0
Salt.Lake.Depot	Parnasree	1.0
Salt.Lake.Depot	Howrah.Station	1.0
Prince.Anwar.Shah.Road	Tollygunge.Phari	3.0
Prince.Anwar.Shah.Road	Tollygunge.Tram.Depot.Karunamayee	1.0
Lord’s.More	Prince.Anwar.Shah.Road	4.0
Lord’s.More	South.CityJadavpur.P.S.	1.0
Lord’s.More	South.City	4.0
Lord’s.More	Uday.Shankar.Sarani	1.0
South.CityJadavpur.P.S.	Gangulypukur	1.0
Gangulypukur	Jadavpur.P.S.	1.0
Safuipara	Gangulypukur	2.0
Layalka	Baghajatin	1.0
SantoshpurAjoynagar	Mukundapur	1.0
Mukundapur	Ruby.Hospital	1.0
Mukundapur	Ajoynagar	10.0
Technopolis.DLF.More	New.Town	1.0
Santoshpur	Jadavpur	1.0
Ajoynagar	Santoshpur	4.0
Ajoynagar	Hiland.Park	8.0
Ajoynagar	Patuli	2.0
Hiland.Park	Peerless.Hospital	2.0
Hiland.Park	Ajoy.Nagar	1.0
Peerless.Hospital	Panchasayar	2.0
Panchasayar	New.Garia.206.Bus.Stand	2.0
New.Garia.206.Bus.Stand	Jalpol	2.0
Jalpol	Garia.Station	2.0
Garia.Station	Sreenagar.Main.Road	2.0
Sreenagar.Main.Road	Lalgate	2.0
Lalgate	Hatibari	2.0
Hatibari	Nayabad.1B.Bus.Stand	2.0
Nayabad.1B.Bus.Stand	Nayabad.(Garia)	2.0
Nayabad.(Garia)	Howrah.Station.	2.0
VIP.Bazar	Science.City	3.0
VIP.Bazar	Science.City.Chingrighata	1.0
AMRI.Hospital	GD.Block	4.0
GD.Block	Central.Park	4.0
Central.Park	Dunlop	1.0
Central.Park	Building.More	1.0
Salt.Lake.Karunamoyee	Howrah.Station.	1.0
Salt.Lake.Karunamoyee	Dunlop	1.0
Salt.Lake.Karunamoyee	Bikash.Bhawan	1.0
Salt.Lake.Karunamoyee	Central.Park	4.0
Salt.Lake.Karunamoyee	Ariadaha..	1.0
Salt.Lake.Karunamoyee	Dakghar.	1.0
Salt.Lake.Karunamoyee	Ballykhal	1.0
Salt.Lake.Karunamoyee	Golf.Green	1.0
Airport.Gate.No.1.	Dum.Dum	1.0
Airport.Gate.No.1.	Kaikhali	1.0
Airport.Gate.No.1.	via.Kaikhali	1.0
Dum.Dum	Nagerbazar.Shyambazar	1.0
Nagerbazar.Shyambazar	Girish.Park	1.0
Wireless.More	Nilgunge	1.0
Nilgunge	Howrah.Station	1.0
Beliaghata	Ultadanga	1.0
Beliaghata	Rashmoni.Bazar	3.0
Rashmoni.Bazar	Phoolbagan	1.0
Rashmoni.Bazar	CIT.Road	1.0
Rashmoni.Bazar	Building.More	2.0
Dum.Dum.7.Tanks.	Northern.Avenue	1.0
Northern.Avenue	Paikpara	1.0
R.G..Kar.Hospital	Belgachia	1.0
Chitaranjan.Hospital	Park.Circus	1.0
Topsia	Science.City	6.0
Ruby.Hospital.Kalikapur	Mukundapur	2.0
KB.Block	KC.Block	1.0
KC.Block	Tank.No.10	1.0
Salt.Lake.Gate	Mahisbathan	1.0
Mahisbathan	DLF.More	1.0
Amtala.	Bisnupur	1.0
Bisnupur	Khariberia	1.0
Khariberia	Bhasa	1.0
Bhasa	Konchouki	1.0
Konchouki	Pailan	1.0
Pailan	Joka	1.0
Chowrasta.Behala	Majherhat	1.0
Sales.Tax.Beleghata	Rashmoni.Bazar	1.0
E.M..Bypass	Ultadanga	5.0
E.M..Bypass	Building.More	2.0
E.M..Bypass	Chingrighata.Science.City.	1.0
Patuli	Ultadanga	1.0
Patuli	Baishnabghata	5.0
Patuli	New.Town	1.0
Patuli	Hiland.Park	6.0
Patuli	Dhalai.Bridge	1.0
Salt.Lake.Karunamoyee.	Tobin.Road.Sinthi.More	1.0
Tobin.Road.Sinthi.More	Chiria.More	1.0
Paikpara.More	Shyambazar	1.0
Ultadanga.PNB	Laboni	1.0
Bidhannagar.College	Central.Park	1.0
Ultadanga..	Khanna	1.0
Howrah.Court.Foresore.Road	Mandirtala	1.0
Sovabazar.Girish.Park	Central.Avenue	1.0
Deshaporiya.Park	Southern.Avenue.Golpark	1.0
Southern.Avenue.Golpark	Dhakuria	1.0
Sitala.Mandir	Mahamayatala	1.0
Mahamayatala	Pratapgarh	1.0
Pratapgarh	Kamalgazi	1.0
Kamalgazi	Narendrapur	2.0
Narendrapur	Rajpur	2.0
Rajpur	Harinavi	2.0
Harinavi	Malancha	2.0
Malancha	Gobindapur	2.0
Gobindapur	Padmapukur	2.0
Padmapukur	Baruipur	2.0
Baruipur	Howrah.Station	1.0
Baruipur	Thakurpukur..	1.0
Thakurpukur..	Sakherbazar	1.0
Khidirpur.Princep.Ghat	Babughat	1.0
Kankurgachi.Ultadanga	PNB.More	1.0
Kankurgachi.Ultadanga	VIP.Road	1.0
Baisakhi	Purta.Bhaban	1.0
Baisakhi	Karunamoyee.Tank.No.10	1.0
Purta.Bhaban	Bikash.Bhaban	1.0
Bikash.Bhaban	Salt.Lake.Karunamoyee	1.0
Ariadaha..	Dakshineshwar	1.0
Baranagar.Bazar	Kashipur	1.0
Kashipur	Bagbazar	1.0
RajballavparaSovabazar	Girish.Park	1.0
Rashbehari.Tollygunge.Phari	Tollygunge.Tram.Depot	1.0
Jadavpur.	Jadavpur.P.S.	1.0
Jadavpur.	Jadavpur.PS	1.0
Garihat.Flyover	Gariahat.Tram.depot	1.0
Gariahat.Tram.depot	Beckbagan	1.0
